企业名称,企业性质,所在城市,薪资待遇,作息时间,学历要求,核心业务,对口专业,深度调研结论,风险提示,官方网址
"上海华理安全装备有限公司","民企","上海市上海市","未知","待核对","待核对","爆破片装置,无焰泄放,隔爆阀,管道阻火","关注防爆电器、工业爆炸防护装备及配套的学生。,希望寻找长三角或华东区域防爆制造板块的学生。","上海华理安全装备有限公司是国内专业的防爆安全装备 / 爆破片领域主体，产品包括爆破片装置、无焰泄放、隔爆阀、管道阻火等。其产品及方向适用于弹药与爆炸技术防爆管理及配套，但具体岗位及作息待遇数据尚未被官方招聘直接佐证，需以当年最新材料核实。","当前无公开可考证的薪资与作息数据。;具体生产及研发岗位的学历门槛可能发生变化。;独立校招公告需按学校就业网最新批次更新。","https://www.hl130.com/Home"
"上海华龙测试仪器有限公司","民企","上海市上海市","未知","待核对","本科及以上","极端环境测试,智能化测试仪器,力学性能测试,专精特新","兵器类,探测制导,安全工程,机械自动化","上海华龙测试仪器是国内知名的试验机制造商，主营万能材料、疲劳等力学测试设备，可用于极端环境下的性能评估。设备在航空航天、军工领域有广泛应用，核心业务与机械、材料、兵器类专业对口，是一家具备深厚技术积淀的优质民企。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.shhualong.com"
"上海合时智能科技有限公司","民企","待核对上海","未知","待核对","本科及以上","特种机器人,排爆机器人,自动化装备,专精特新","兵器类,探测制导,安全工程,机械自动化","上海合时智能科技有限公司是一家专注于反恐排爆、侦检、武装及扫雷等特种机器人研发的专精特新企业。公司掌握防爆设计与智能控制等核心技术，其业务与弹药工程、探测制导及机械自动化等专业高度契合。对于希望从事特种装备和军用机器人研发的毕业生而言，这是一个具备深厚技术积累与广阔前景的平台。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.hrstek.com/"
"上海复合材料科技有限公司","国企","闵行区上海","未知","待核对","本科及以上","航天八院下属,航天复合材料结构,功能性复合材料","兵器类,探测制导,安全工程,机械自动化","该公司作为中国航天科技集团第八研究院下属的复合材料技术研发中心，主营弹、箭、星、船结构及功能性复合材料产品的研发与生产。其核心业务与弹药工程、探测制导及特种材料专业高度对口。依托航天国企平台，项目资源丰富且稳定性高，非常适合相关军工专业的应届毕业生投身国防事业并获得长远的职业发展。","国企涉密单位可能有较严的保密要求;实际加班情况及待遇网端信息较少","https://www.zju.edu.cn/"
"中国兵器工业试验测试研究院","国企","陕西省西安市","未知","待核对","硕士及以上为主","兵器工业集团直属,国防科技工业陆上常规武器试验基地,051基地","兵器科学与技术、弹药工程专业毕业生,倾向于军工体制内科研与试验单位的学生","该研究院是兵器工业集团下属的唯一陆上常规武器试验基地，主要从事兵器工业的科研试验与测试工作，业务范围与弹药工程、控制工程高度匹配。虽缺乏独立官网，但通过各大高校就业网常年开展针对涉军工专业的校招，值得弹药工程相关专业的学生作为重点就业去向进行关注和投递。","官方直聘入口和网申链接需进一步核对获取;待遇和作息制度暂无公开可靠依据","https://www.job.sjtu.edu.cn/test1"
"中国兵器工业集团北方特种能源集团有限公司","待核对","陕西省待核对","未知","待核对","硕士研究生","火工品研发生产,民爆器材产业,汽车安全系统,新能源板块","爆炸技术专业本科或硕士毕业生,对军工含能材料感兴趣的求职者,关注军民融合产业的学生","该企业隶属于中国兵器工业集团，业务聚焦火工品、含能材料与民爆，属于弹药工程与爆炸技术专业相关领域。适合对军工含能材料感兴趣的本科/硕士学生，但工作地点多为陕西西安等，岗位存在现场验证风险。无公开薪资与作息信息，需关注集团招聘平台最新公告。总体适合有爆炸技术专业背景的求职者。","工作地点为陕西西安为主，签约单位可能为子公司;岗位可能涉及现场试验或保密岗位;薪资与作息缺乏公开数据;招聘公告时间不固定，需实时关注;信息以公开渠道为主，具体条件建议核实","https://www.norincogroup.com.cn/"
"中国兵器工业集团江山重工研究院有限公司","国企","湖北省襄阳市高新区襄阳；武汉；南京","硕士12-20万；博士30-40万（招聘公告薪酬，具体岗位未指定）","待核对","硕士研究生及以上（博士后研究员为博士研究生）","国家火箭炮武器研发制造基地,国防科技工业科研生产双保军企业,多基地协同发展,省级技术创新中心","具有爆炸技术、弹药工程、材料科学等相关专业背景的硕士及以上学生,对军工装备研发感兴趣，愿意从事试验验证或工艺制造工作的学生,计划从事国防科技领域，愿意跨区域工作的学生,关注含能材料、火工品相关课题的学生","该企业与弹药工程与爆炸技术专业学生相关度高。属于中国兵器工业集团直属子公司，业务聚焦国家火箭炮武器研发制造基地，具备火控、动力学、材料、工艺等专业需求。招聘以硕士为主，博士后为特色，工作地点包括襄阳、武汉、南京三地。福利包括购房补贴、安家费、六险两金等。属于典型军工科研生产企业，适合对国防装备感兴趣、有爆炸/弹药相关专业背景的学生。资料来源于公开招聘公告和官方渠道，来源可靠但无官方公司官网，招聘公告可能因时效性需关注微信公众号更新。","招聘公告截止日期为2026-06-10，当前（2026-06-08）仍处于招募期但需及时投递;工作地点包括襄阳、武汉、南京，签约单位可能为分公司而非总部;军工企业岗位可能涉及涉密、现场试验或倒班情况;无独立官网，招聘信息主要通过微信公众号发布，需关注更新;薪酬为公告规定，实际执行可能因岗位差异",""
"中煤科工集团淮北爆破技术研究院有限公司","国企","安徽淮北市","未知","待核对","本科及以上，硕士岗位较多（招聘样本，待核对）","央企下属,民爆研发,爆破工程,安全评价","关注民爆科研和检测方向的学生,关注爆破工程技术研发的学生,关注安全评价和技术支持岗位的学生","中煤科工集团淮北爆破技术研究院有限公司官网显示，其面向民用爆破器材、爆破工程技术和安全技术方向，和弹药工程、爆破工程及安全评价相关。招聘简章提供岗位样本，但薪资、作息、岗位有效期和具体工作地点仍需按最新公告复查。","招聘简章有时效性，岗位是否仍开放需复查。;薪资和作息未形成稳定公开证据。;部分岗位可能要求硕士或相关资质。;实际工作内容可能包含现场技术支持。","https://www.hbccri.com/"
"中煤科工集团重庆研究院有限公司","国企","重庆市重庆市","未知","待核对","待核对","安全技术,民爆技术线索,安全评价,招聘入口","关注安全技术、检测评价和民爆技术的学生。,想看央企科研院所型就业入口的学生。,能接受现场测试或工程服务可能性的学生。","中煤科工集团重庆研究院有限公司可作为煤矿安全、工业安全、民爆技术和安全评价方向入口。智联、国聘、猎聘和政府资料能支撑相关性；官网连通性、最新岗位、薪资、作息、签约主体和现场工作要求仍需复查。","官网入口连通性需复查。;民爆技术只是业务线索，需按具体部门判断匹配度。;岗位可能分布在分院或项目现场。;薪资、作息和出差要求没有稳定公开口径。","https://www.zhaopin.com/companydetail/jobs-CZ255849730/"
"中科科正自动化工程有限公司","待核对","安徽合肥","6k-15k/月（样本值，待核对）","双休","本科及以上","民爆智能装备,乳化炸药自动化生产线,粉料包装及自动配料系统,机器人包装码垛生产线,智能工厂建设","兵器类,探测制导,安全工程,机械自动化","中科科正自动化工程有限公司由中科院合肥物质科学研究院与相关企业联合组建，专注于民爆智能装备、乳化炸药自动化生产线及智能工厂建设。其核心业务与弹药工程及爆炸技术专业的高端制造、自动化转型方向高度契合，科研实力雄厚，非常适合该专业毕业生在智能制造、工艺研发与技术支持等岗位发展。","暂未发现明显公开风险;部分福利及作息细则需入职前核实","http://www.hfkzgc.com/"
